product_content_id,event_date,price,sold_count,visit_count,basket_count,favored_count,category_sold,category_brand_sold,category_visits,ty_visits
5926527,2020-05-03,NaN,0,223,4,7,319,218,221244,167535048
3904356,2020-05-03,NaN,0,72,0,0,775,30,980115,167535048
6676673,2020-05-03,148.07,292,20509,1318,444,323,21,419610,167535048
31515569,2020-05-02,44.99,463,44076,3558,1409,1744,55,1439261,172104966
7061886,2020-05-02,233.86,102,7038,540,297,146,16,355647,172104966
5926527,2020-05-02,29.99,1,251,3,5,375,239,241336,172104966
4066298,2020-05-02,73.23,299,3149,634,103,227,44,60076,172104966
85004,2020-05-02,75.94,65,3354,434,308,542,14,403467,172104966
3904356,2020-05-02,NaN,0,86,0,2,830,26,912162,172104966
6676673,2020-05-02,148.37,362,26468,1853,580,350,25,490896,172104966
32939029,2020-05-02,104.67,198,10953,987,930,104,68,148879,172104966
3904356,2020-05-01,NaN,0,73,0,1,857,31,873780,162182631
6676673,2020-05-01,149.83,351,20785,1690,331,360,25,458440,162182631
31515569,2020-05-01,44.88,612,38062,3938,1196,1706,46,1271329,162182631
4066298,2020-05-01,74.22,193,2520,563,88,239,48,54996,162182631
32939029,2020-05-01,104.44,498,16795,2246,794,97,73,141565,162182631
85004,2020-05-01,75.04,84,3040,360,309,533,13,377466,162182631
7061886,2020-05-01,234.63,79,4941,354,206,138,14,280852,162182631
5926527,2020-05-01,NaN,0,87,5,3,373,240,195055,162182631
85004,2020-04-30,74.89,69,2876,333,292,500,11,318828,139016855
3904356,2020-04-30,NaN,0,70,0,0,795,29,726686,139016855
6676673,2020-04-30,166.45,212,16796,1070,231,347,28,378769,139016855
4066298,2020-04-30,72,231,2502,459,89,217,44,60146,139016855
32939029,2020-04-30,103.44,221,6201,745,469,106,75,88215,139016855
7061886,2020-04-30,240.03,38,3110,245,117,122,17,176695,139016855
31515569,2020-04-30,44.99,515,28466,2976,883,1587,55,1130426,139016855
5926527,2020-04-30,29.99,1,86,2,3,336,229,176415,139016855
32939029,2020-04-29,102.93,256,8398,897,601,92,68,82184,142159886
7061886,2020-04-29,229.39,59,3357,273,142,120,13,190293,142159886
85004,2020-04-29,75.06,83,10088,640,1109,519,13,350474,142159886
31515569,2020-04-29,44.93,525,31511,3249,1086,1686,54,1319334,142159886
4066298,2020-04-29,72.02,272,2925,511,102,220,46,83472,142159886
3904356,2020-04-29,NaN,0,64,1,0,723,26,758680,142159886
5926527,2020-04-29,NaN,0,94,2,4,352,228,199752,142159886
6676673,2020-04-29,162.97,228,18756,1218,274,379,31,402478,142159886
85004,2020-04-28,75.47,77,6123,498,680,501,15,351101,134287345
4066298,2020-04-28,72.02,238,2451,461,92,218,41,59554,134287345
7061886,2020-04-28,224,61,3851,292,120,106,10,203211,134287345
5926527,2020-04-28,NaN,0,164,3,5,332,222,210125,134287345
3904356,2020-04-28,NaN,0,38,1,0,668,22,750506,134287345
6676673,2020-04-28,158.87,254,18153,1220,274,350,22,322024,134287345
31515569,2020-04-28,44.99,494,30560,3354,919,1588,49,1196392,134287345
32939029,2020-04-28,102.9,224,6045,752,385,88,64,60259,134287345
7061886,2020-04-27,224,70,3672,261,136,116,12,223005,124533721
32939029,2020-04-27,103.45,147,4302,498,210,95,72,61654,124533721
3904356,2020-04-27,NaN,0,61,1,1,669,35,633135,124533721
4066298,2020-04-27,72.19,227,2527,467,83,253,46,61507,124533721
5926527,2020-04-27,24.99,2,71,6,5,300,184,168957,124533721
85004,2020-04-27,75.72,68,2985,337,317,545,12,378128,124533721
6676673,2020-04-27,157.42,209,17665,1107,216,366,26,320145,124533721
31515569,2020-04-27,43.63,547,30722,3549,1004,1362,44,997865,124533721
3904356,2020-04-26,NaN,0,55,0,1,640,28,717406,135682660
4066298,2020-04-26,72,254,3938,464,139,230,45,104332,135682660
85004,2020-04-26,75.41,53,2803,248,248,532,16,377060,135682660
6676673,2020-04-26,156.84,177,17781,998,185,340,19,285684,135682660
5926527,2020-04-26,NaN,0,68,3,4,362,225,212851,135682660
32939029,2020-04-26,103.09,95,3101,370,129,100,70,69936,135682660
31515569,2020-04-26,39.99,764,31899,3947,1194,1403,42,1028204,135682660
7061886,2020-04-26,225.15,68,4611,294,165,106,13,253867,135682660
31515569,2020-04-25,39.99,813,38647,4898,1367,1436,62,1048775,136326334
85004,2020-04-25,75.42,63,2678,259,254,494,11,346742,136326334
4066298,2020-04-25,72,209,4232,530,126,238,47,72625,136326334
7061886,2020-04-25,220.24,60,3874,281,107,118,14,259160,136326334
3904356,2020-04-25,NaN,0,71,1,3,665,27,755875,136326334
5926527,2020-04-25,NaN,0,80,6,4,337,240,199012,136326334
32939029,2020-04-25,103.23,98,3096,382,150,91,67,73795,136326334
6676673,2020-04-25,159.29,132,18501,923,235,328,28,307897,136326334
5926527,2020-04-24,NaN,0,87,1,6,314,209,191795,123100900
32939029,2020-04-24,103.41,97,3792,402,234,100,68,81419,123100900
85004,2020-04-24,75.41,61,2572,262,293,483,13,308562,123100900
31515569,2020-04-24,39.99,729,40626,4931,1727,1255,54,1011076,123100900
3904356,2020-04-24,NaN,0,65,0,0,618,14,748439,123100900
6676673,2020-04-24,160.62,151,18288,977,249,335,24,286592,123100900
4066298,2020-04-24,72.01,182,2368,359,79,213,45,57408,123100900
7061886,2020-04-24,216,63,3767,230,166,113,9,241614,123100900
31515569,2020-04-23,39.99,671,35032,4108,1338,1359,52,931314,121162549
85004,2020-04-23,75.38,47,2592,248,254,451,8,308145,121162549
7061886,2020-04-23,215.88,96,6104,401,320,115,14,209186,121162549
3904356,2020-04-23,NaN,0,51,1,1,711,22,710870,121162549
4066298,2020-04-23,72.01,165,1869,302,62,230,50,70460,121162549
5926527,2020-04-23,24.99,1,72,5,4,337,248,201083,121162549
32939029,2020-04-23,103.18,153,5849,641,728,96,67,92374,121162549
6676673,2020-04-23,155.84,223,19068,1245,318,351,26,304935,121162549
4066298,2020-04-22,72.02,175,2268,393,87,222,46,52374,114817904
31515569,2020-04-22,39.99,785,32076,4445,1353,1376,61,915590,114817904
32939029,2020-04-22,104.48,112,4426,515,289,99,69,76416,114817904
5926527,2020-04-22,NaN,0,74,0,4,319,228,200201,114817904
6676673,2020-04-22,157.73,215,17178,1065,250,378,26,283924,114817904
85004,2020-04-22,75.4,66,2763,286,308,462,13,290727,114817904
3904356,2020-04-22,NaN,0,62,3,1,630,30,555004,114817904
7061886,2020-04-22,218.58,75,5110,327,203,97,11,196912,114817904
31515569,2020-04-21,39.96,908,38545,5848,2090,1396,61,1040080,118153015
85004,2020-04-21,75.42,80,3253,335,406,479,13,322257,118153015
4066298,2020-04-21,72,193,2376,446,95,227,50,51161,118153015
7061886,2020-04-21,219,76,5375,322,197,109,12,216531,118153015
32939029,2020-04-21,106.04,92,3225,336,184,98,68,64600,118153015
5926527,2020-04-21,NaN,0,81,3,3,295,200,213096,118153015
6676673,2020-04-21,164.33,195,16042,1004,243,364,23,320575,118153015
3904356,2020-04-21,NaN,0,72,0,0,616,38,539396,118153015
85004,2020-04-20,75.58,70,2963,331,357,506,11,302206,114145826
4066298,2020-04-20,72.01,233,2227,467,99,239,50,47015,114145826
3904356,2020-04-20,NaN,0,62,0,0,654,40,541354,114145826
7061886,2020-04-20,219.1,77,5040,325,191,114,13,194649,114145826
31515569,2020-04-20,39.96,1008,41273,6099,1764,1500,59,1165305,114145826
6676673,2020-04-20,163.1,197,17428,1024,243,394,24,293385,114145826
5926527,2020-04-20,NaN,0,121,1,6,318,200,230746,114145826
32939029,2020-04-20,106.07,148,5402,542,326,104,69,101172,114145826
7061886,2020-04-19,219,80,5819,389,280,129,14,215324,131388239
32939029,2020-04-19,104.31,121,3982,457,261,102,64,74526,131388239
31515569,2020-04-19,39.99,911,38914,5017,1502,1540,59,1361118,131388239
5926527,2020-04-19,NaN,0,308,12,14,371,241,299671,131388239
3904356,2020-04-19,NaN,0,87,2,0,642,30,663790,131388239
6676673,2020-04-19,162.6,157,19347,1054,259,368,23,284559,131388239
4066298,2020-04-19,72.01,164,1944,341,74,228,45,40792,131388239
85004,2020-04-19,75.64,57,2061,308,203,496,13,350473,131388239
5926527,2020-04-18,24.99,1,283,4,9,348,230,234769,127104948
3904356,2020-04-18,NaN,0,76,1,1,674,32,724331,127104948
6676673,2020-04-18,161.3,216,18036,1143,254,361,19,277773,127104948
85004,2020-04-18,75.82,53,2834,357,329,465,12,374482,127104948
32939029,2020-04-18,101.9,127,4142,477,303,101,66,74171,127104948
4066298,2020-04-18,72.04,145,1899,295,66,215,44,42536,127104948
7061886,2020-04-18,219,91,5557,346,227,134,11,198520,127104948
31515569,2020-04-18,39.99,914,32045,4386,1240,1456,60,1290419,127104948
85004,2020-04-17,75.32,71,3203,409,323,479,14,299456,110268309
32939029,2020-04-17,102.03,107,3532,460,212,94,65,69946,110268309
3904356,2020-04-17,NaN,0,71,0,0,637,38,754310,110268309
5926527,2020-04-17,24.99,1,226,6,4,305,212,191481,110268309
7061886,2020-04-17,219,94,5516,366,241,105,11,179252,110268309
4066298,2020-04-17,72.08,210,2047,353,78,234,51,44707,110268309
6676673,2020-04-17,160.6,169,16143,1007,207,371,27,265651,110268309
31515569,2020-04-17,39.99,902,32578,4556,1239,1411,64,1145976,110268309
85004,2020-04-16,75.75,108,4129,545,459,531,14,314690,115281081
7061886,2020-04-16,219.07,116,4860,364,201,111,11,171820,115281081
4066298,2020-04-16,72.01,308,3001,579,100,255,50,59036,115281081
5926527,2020-04-16,24.99,1,357,11,8,317,210,194149,115281081
32939029,2020-04-16,101.9,149,2987,473,134,110,75,78662,115281081
6676673,2020-04-16,155.04,218,18280,1839,227,417,27,308916,115281081
3904356,2020-04-16,89.99,1,137,1,1,812,125,715153,115281081
31515569,2020-04-16,39.99,1098,35621,5923,1345,1560,65,1228121,115281081
85004,2020-04-15,75.93,165,6423,809,1012,539,14,353417,122457428
4066298,2020-04-15,72,415,3421,759,121,271,61,67923,122457428
3904356,2020-04-15,NaN,0,82,0,2,826,79,766478,122457428
5926527,2020-04-15,NaN,0,51,2,2,220,144,133279,122457428
31515569,2020-04-15,39.99,1400,44100,8934,1723,1500,64,1323745,122457428
6676673,2020-04-15,151.7,363,23250,1983,338,426,28,324648,122457428
32939029,2020-04-15,103.49,121,3236,433,179,111,69,96983,122457428
7061886,2020-04-15,219.08,103,4985,443,193,124,14,214168,122457428
7061886,2020-04-14,217.38,114,7060,475,318,107,12,238646,130779043
6676673,2020-04-14,159.8,245,18984,1363,212,397,24,302025,130779043
32939029,2020-04-14,104.11,119,3222,469,244,104,69,90761,130779043
4066298,2020-04-14,72.08,380,3557,671,114,278,53,65522,130779043
5926527,2020-04-14,24.99,1,55,4,2,303,220,196558,130779043
85004,2020-04-14,76,152,5593,639,1237,526,15,339979,130779043
3904356,2020-04-14,NaN,0,94,1,2,868,82,933377,130779043
31515569,2020-04-14,39.97,1461,37982,9065,1400,1640,66,1388783,130779043
7061886,2020-04-13,214.85,154,9149,616,364,122,13,294976,133285741
3904356,2020-04-13,NaN,0,154,3,0,896,120,973360,133285741
4066298,2020-04-13,72.01,382,3291,714,123,275,54,61175,133285741
5926527,2020-04-13,NaN,0,85,7,7,311,193,197263,133285741
32939029,2020-04-13,103.49,128,4216,623,330,105,62,87736,133285741
6676673,2020-04-13,157.29,309,27885,2042,464,390,21,338694,133285741
31515569,2020-04-13,39.77,126,6450,1157,225,1704,63,1538398,133285741
85004,2020-04-13,75.83,109,2617,411,242,519,14,291957,133285741
6676673,2020-04-12,155.44,230,18758,1282,235,324,18,277581,110117163
85004,2020-04-12,76,79,3130,366,278,462,10,297472,110117163
31515569,2020-04-12,39.99,926,25975,5431,1187,1408,59,1457561,110117163
3904356,2020-04-12,NaN,0,57,1,1,611,41,674406,110117163
5926527,2020-04-12,NaN,0,59,2,1,172,114,128645,110117163
32939029,2020-04-12,102.35,113,3387,442,278,97,62,87257,110117163
7061886,2020-04-12,215.02,110,4944,390,251,114,13,207858,110117163
4066298,2020-04-12,72,274,2434,495,110,223,47,44900,110117163
4066298,2020-04-11,72,224,2476,472,115,221,43,46476,100284563
6676673,2020-04-11,153.42,195,20982,1426,325,306,19,282134,100284563
32939029,2020-04-11,101.9,104,3589,484,281,93,58,78343,100284563
85004,2020-04-11,76.86,68,2810,288,256,460,13,279894,100284563
31515569,2020-04-11,39.99,801,26354,4459,1383,1267,60,1526271,100284563
3904356,2020-04-11,NaN,0,89,1,2,638,45,673907,100284563
7061886,2020-04-11,215,64,4393,319,225,100,12,178078,100284563
5926527,2020-04-11,NaN,0,57,0,3,151,90,137494,100284563
32939029,2020-04-10,102.53,151,4042,574,276,98,61,68897,99144213
3904356,2020-04-10,NaN,0,72,0,3,714,30,659842,99144213
4066298,2020-04-10,72.08,153,1913,356,69,228,44,42400,99144213
85004,2020-04-10,79.91,76,3017,290,300,491,16,304319,99144213
31515569,2020-04-10,39.94,1070,32311,6017,1352,1188,68,1246711,99144213
7061886,2020-04-10,215,89,3892,323,206,116,14,184110,99144213
5926527,2020-04-10,24.99,2,102,3,4,206,166,134212,99144213
6676673,2020-04-10,149.63,351,20725,1963,323,346,21,297661,99144213
6676673,2020-04-09,146.88,351,19453,1960,310,389,21,334516,105329452
4066298,2020-04-09,72.17,229,2149,399,87,242,50,43237,105329452
31515569,2020-04-09,39.99,1030,27610,5371,1177,1348,67,960267,105329452
85004,2020-04-09,78.62,66,4591,485,394,544,15,363072,105329452
5926527,2020-04-09,24.99,1,114,3,6,196,163,141518,105329452
3904356,2020-04-09,NaN,0,147,0,1,754,20,722044,105329452
32939029,2020-04-09,102,211,5085,726,322,99,61,71094,105329452
7061886,2020-04-09,215.01,100,3593,333,177,129,15,200208,105329452
7061886,2020-04-08,211.2,106,3394,350,147,104,13,163682,102637969
3904356,2020-04-08,NaN,0,177,0,1,728,25,788024,102637969
85004,2020-04-08,76.81,80,2830,377,302,502,13,299430,102637969
5926527,2020-04-08,24.99,1,154,8,12,206,169,146426,102637969
4066298,2020-04-08,72,214,2611,384,61,234,43,48028,102637969
6676673,2020-04-08,144.77,362,21323,1903,268,393,18,297691,102637969
32939029,2020-04-08,100.58,196,4718,675,260,96,63,67275,102637969
31515569,2020-04-08,39.99,1042,29287,5248,1183,1309,68,940423,102637969
85004,2020-04-07,75.89,104,3549,484,368,483,13,267718,93861335
4066298,2020-04-07,72.05,208,1753,386,62,227,35,46565,93861335
32939029,2020-04-07,100.6,169,3022,570,156,94,61,49250,93861335
6676673,2020-04-07,141.49,361,17918,1919,298,382,21,241617,93861335
31515569,2020-04-07,39.99,852,28432,5311,1194,1154,66,961969,93861335
5926527,2020-04-07,NaN,0,171,5,10,211,168,142709,93861335
7061886,2020-04-07,208.99,64,2451,257,99,114,15,142220,93861335
3904356,2020-04-07,NaN,0,117,1,0,643,26,721646,93861335
7061886,2020-04-06,208.99,90,3008,329,130,132,15,183515,96549146
85004,2020-04-06,75.86,99,4762,569,433,489,14,305545,96549146
6676673,2020-04-06,139.56,466,19210,2408,304,358,20,257137,96549146
32939029,2020-04-06,100.56,201,4006,667,248,98,63,55721,96549146
3904356,2020-04-06,NaN,0,94,4,3,681,19,767682,96549146
31515569,2020-04-06,39.99,875,29220,5898,1100,1211,71,1007409,96549146
4066298,2020-04-06,72.02,208,1890,416,60,256,53,51628,96549146
5926527,2020-04-06,24.99,2,205,11,6,200,171,136228,96549146
85004,2020-04-05,75.9,99,5082,541,419,479,15,313927,104809698
31515569,2020-04-05,39.99,715,26759,5010,1088,1151,73,960091,104809698
6676673,2020-04-05,139.4,460,20017,2962,325,306,18,252600,104809698
3904356,2020-04-05,NaN,0,104,0,1,639,29,857570,104809698
32939029,2020-04-05,100.59,214,4492,900,323,85,51,55888,104809698
4066298,2020-04-05,72.01,202,1711,385,62,216,38,50995,104809698
7061886,2020-04-05,208.99,94,4441,344,228,147,20,255629,104809698
5926527,2020-04-05,24.99,2,205,10,13,197,160,135088,104809698
4066298,2020-04-04,72.02,195,1841,377,71,268,53,47954,91490608
7061886,2020-04-04,208.99,83,4339,352,243,141,18,216258,91490608
32939029,2020-04-04,100.56,212,5626,861,456,90,53,55633,91490608
85004,2020-04-04,75.94,93,3661,468,309,466,12,284797,91490608
31515569,2020-04-04,39.99,634,22816,4113,1031,1185,75,930992,91490608
3904356,2020-04-04,NaN,0,88,0,0,679,25,783425,91490608
6676673,2020-04-04,137.07,434,20190,2803,394,320,18,244211,91490608
5926527,2020-04-04,NaN,0,153,6,8,195,161,101901,91490608
6676673,2020-04-03,136.55,459,19662,1806,331,323,21,226021,78982281
7061886,2020-04-03,209.09,73,2784,259,119,121,14,139537,78982281
5926527,2020-04-03,NaN,0,4,0,0,98,78,75676,78982281
4066298,2020-04-03,72.01,151,1643,328,57,247,47,47453,78982281
31515569,2020-04-03,39.99,536,21923,3207,972,1129,66,943893,78982281
85004,2020-04-03,76.74,43,2788,304,308,453,12,217643,78982281
32939029,2020-04-03,100.71,97,2909,401,187,91,58,35846,78982281
3904356,2020-04-03,NaN,0,95,1,0,653,18,714099,78982281
4066298,2020-04-02,72.01,172,2068,380,69,227,48,46786,83823639
85004,2020-04-02,73.4,85,3939,451,466,462,15,241091,83823639
3904356,2020-04-02,NaN,0,98,1,1,713,34,781605,83823639
6676673,2020-04-02,136.05,437,19374,1845,301,347,19,227351,83823639
31515569,2020-04-02,39.99,549,19108,2909,969,1139,66,933285,83823639
32939029,2020-04-02,100.83,118,3286,457,202,212,98,62902,83823639
5926527,2020-04-02,24.99,1,40,1,0,120,91,91309,83823639
7061886,2020-04-02,208.99,77,3142,287,152,127,16,157466,83823639
4066298,2020-04-01,72,133,1805,343,45,231,53,45179,79978503
3904356,2020-04-01,NaN,0,115,2,1,742,57,795738,79978503
6676673,2020-04-01,135.92,425,18569,1786,270,336,20,229263,79978503
32939029,2020-04-01,101.37,164,5128,595,383,209,97,78084,79978503
5926527,2020-04-01,NaN,0,32,0,2,106,70,70422,79978503
7061886,2020-04-01,209.89,75,3265,282,142,133,17,146088,79978503
31515569,2020-04-01,39.99,573,18345,2834,883,1190,70,833760,79978503
85004,2020-04-01,75.7,88,3605,421,353,493,13,230652,79978503
5926527,2020-03-31,NaN,0,25,2,2,159,96,70934,77748412
4066298,2020-03-31,71.96,144,1559,269,36,227,50,35451,77748412
31515569,2020-03-31,39.99,612,18431,3070,945,1223,66,725532,77748412
7061886,2020-03-31,209.03,85,3298,265,158,124,18,133348,77748412
85004,2020-03-31,75.87,82,2631,353,272,467,12,199079,77748412
6676673,2020-03-31,135.4,484,19039,2382,310,311,22,203395,77748412
32939029,2020-03-31,100.85,162,3365,609,235,190,86,58729,77748412
3904356,2020-03-31,NaN,0,89,0,3,737,44,693050,77748412
32939029,2020-03-30,101.66,102,2864,385,190,223,103,56314,63594812
5926527,2020-03-30,NaN,0,31,1,1,122,81,78472,63594812
6676673,2020-03-30,133.43,388,16968,1885,271,321,19,185412,63594812
3904356,2020-03-30,NaN,0,37,0,0,659,42,573362,63594812
4066298,2020-03-30,71.99,123,1561,260,56,210,48,33486,63594812
7061886,2020-03-30,209.85,63,3666,269,180,125,14,130745,63594812
85004,2020-03-30,75.66,74,2425,317,260,424,13,176577,63594812
31515569,2020-03-30,39.99,409,16885,2543,799,997,59,609081,63594812
4066298,2020-03-29,71.72,171,1804,323,74,217,45,34669,71205894
85004,2020-03-29,75.5,55,2496,328,301,400,13,181934,71205894
3904356,2020-03-29,NaN,0,3,0,0,724,99,701730,71205894
7061886,2020-03-29,212.09,57,3049,209,162,130,13,166870,71205894
5926527,2020-03-29,24.99,1,71,3,4,271,120,126907,71205894
31515569,2020-03-29,39.99,397,15031,2283,708,1168,63,703608,71205894
6676673,2020-03-29,133.29,361,20414,1973,323,282,17,210399,71205894
32939029,2020-03-29,101.94,114,3267,454,242,196,97,56768,71205894
5926527,2020-03-28,NaN,0,82,1,3,261,120,112851,69008361
31515569,2020-03-28,39.99,389,18797,2622,796,1240,62,758696,69008361
7061886,2020-03-28,214.32,52,3206,230,187,132,15,192652,69008361
3904356,2020-03-28,NaN,0,2,0,0,769,99,674801,69008361
4066298,2020-03-28,70.19,224,2450,503,70,207,44,36678,69008361
85004,2020-03-28,75.72,47,1810,248,197,391,17,172504,69008361
32939029,2020-03-28,100.84,167,4397,820,332,206,94,59336,69008361
6676673,2020-03-28,131.77,408,24178,2695,430,276,21,213415,69008361
4066298,2020-03-27,70.05,225,2421,461,102,214,48,34334,67170619
7061886,2020-03-27,213.9,75,6263,403,434,150,15,251316,67170619
31515569,2020-03-27,39.99,421,19605,2933,828,1354,62,737644,67170619
5926527,2020-03-27,NaN,0,71,3,2,239,129,108868,67170619
32939029,2020-03-27,100,119,4117,573,313,206,90,54512,67170619
85004,2020-03-27,75.68,38,1750,254,144,394,13,176569,67170619
3904356,2020-03-27,NaN,0,41,2,1,818,84,623597,67170619
6676673,2020-03-27,131.21,503,33418,3324,685,297,16,265291,67170619
7061886,2020-03-26,214.45,58,3228,242,176,120,21,161443,69376405
3904356,2020-03-26,NaN,0,3,0,0,867,106,702370,69376405
85004,2020-03-26,75.95,53,2120,306,191,370,10,202399,69376405
5926527,2020-03-26,NaN,0,78,7,1,244,125,117847,69376405
31515569,2020-03-26,39.99,514,20535,2754,892,1411,70,710295,69376405
32939029,2020-03-26,100.02,150,5438,747,458,196,89,60308,69376405
4066298,2020-03-26,69.71,204,2612,591,79,197,45,36498,69376405
6676673,2020-03-26,128.48,395,31620,2475,692,275,18,216865,69376405
7061886,2020-03-25,212.88,48,2326,171,118,120,14,146674,68951486
85004,2020-03-25,75.69,39,2039,201,150,421,12,147265,68951486
5926527,2020-03-25,NaN,0,88,4,2,309,188,154478,68951486
32939029,2020-03-25,100.32,175,5891,753,447,206,96,71007,68951486
3904356,2020-03-25,NaN,0,1,0,0,940,134,844388,68951486
31515569,2020-03-25,39.99,439,19630,2815,951,1364,64,633766,68951486
4066298,2020-03-25,70.18,157,1963,444,60,211,50,42594,68951486
6676673,2020-03-25,134.14,309,22638,1792,356,275,16,173932,68951486
7061886,2020-03-24,218.88,24,1790,136,94,116,17,119332,64397024
5926527,2020-03-24,NaN,0,110,4,3,304,189,155011,64397024
31515569,2020-03-24,39.99,398,20952,2701,1041,1362,63,572873,64397024
6676673,2020-03-24,134.29,242,18226,1245,292,273,18,160256,64397024
3904356,2020-03-24,NaN,0,23,1,0,929,129,978888,64397024
32939029,2020-03-24,101.41,122,3706,530,289,192,91,53592,64397024
85004,2020-03-24,75.75,41,1750,240,144,387,12,146330,64397024
4066298,2020-03-24,71.47,104,1759,295,54,181,41,40998,64397024
5926527,2020-03-23,NaN,0,34,1,1,218,72,98086,57904192
85004,2020-03-23,75.67,42,1861,232,147,374,12,147195,57904192
31515569,2020-03-23,39.99,378,17646,2766,807,1271,57,524093,57904192
7061886,2020-03-23,219.82,45,1926,145,90,123,13,129066,57904192
6676673,2020-03-23,132.41,272,17643,1325,230,259,13,157626,57904192
4066298,2020-03-23,65.87,161,1613,427,59,213,50,44188,57904192
3904356,2020-03-23,NaN,0,4,0,0,870,134,790567,57904192
32939029,2020-03-23,101.68,116,4904,545,338,204,96,55761,57904192
32939029,2020-03-22,101.57,102,5029,553,325,186,86,57864,65897950
4066298,2020-03-22,64.97,107,1274,305,42,222,54,43815,65897950
31515569,2020-03-22,39.99,481,18742,3659,804,1313,62,575591,65897950
5926527,2020-03-22,NaN,0,70,1,4,261,101,104889,65897950
3904356,2020-03-22,NaN,0,4,0,0,933,165,1090216,65897950
85004,2020-03-22,75.9,38,1884,259,187,388,13,146503,65897950
7061886,2020-03-22,223.52,52,2830,197,122,128,16,180602,65897950
6676673,2020-03-22,129.85,291,22345,1595,258,256,16,197529,65897950
32939029,2020-03-21,101.72,119,5012,607,325,182,78,56314,61228451
31515569,2020-03-21,39.99,494,23025,4978,937,1298,67,522917,61228451
5926527,2020-03-21,NaN,0,61,2,4,270,125,94490,61228451
85004,2020-03-21,75.9,40,1889,266,139,376,13,148509,61228451
7061886,2020-03-21,222.84,22,1821,101,68,113,8,124712,61228451
6676673,2020-03-21,133.1,269,17499,1360,237,247,17,200915,61228451
3904356,2020-03-21,NaN,0,2,0,0,942,148,953347,61228451
4066298,2020-03-21,64.94,197,2152,509,70,203,48,39446,61228451
5926527,2020-03-20,NaN,0,17,0,0,175,68,83918,53931281
7061886,2020-03-20,236.27,17,1883,88,55,101,10,90642,53931281
4066298,2020-03-20,65.53,167,1627,482,49,223,56,45020,53931281
3904356,2020-03-20,NaN,0,0,0,0,911,113,829867,53931281
85004,2020-03-20,75.82,25,1405,186,87,336,11,110521,53931281
31515569,2020-03-20,39.99,421,19501,2745,994,1152,64,462209,53931281
32939029,2020-03-20,102.45,126,5989,830,385,175,84,59349,53931281
6676673,2020-03-20,135.84,258,18244,1338,235,229,14,167089,53931281
31515569,2020-03-19,39.99,316,15692,2292,734,1141,63,406301,52496974
85004,2020-03-19,75.75,27,934,134,64,320,9,95410,52496974
5926527,2020-03-19,NaN,0,13,0,2,218,70,107818,52496974
7061886,2020-03-19,238.99,11,1545,95,48,95,11,105209,52496974
6676673,2020-03-19,134.67,259,16480,1240,190,244,14,184473,52496974
4066298,2020-03-19,65,253,2212,733,73,261,59,58148,52496974
3904356,2020-03-19,179.99,1,34,3,0,911,116,735784,52496974
32939029,2020-03-19,105.22,147,8125,1213,468,179,81,62853,52496974
6676673,2020-03-18,133.97,274,15620,1363,191,249,18,179048,51866601
32939029,2020-03-18,106.21,227,11044,1568,908,203,95,90837,51866601
3904356,2020-03-18,NaN,0,51,2,3,941,144,694093,51866601
7061886,2020-03-18,236.71,19,2313,112,155,115,14,113658,51866601
